housing_units_occ,homeowner_units_occ,renters_units_occ,med_rent,med_household_price,zip
10652,7499,3153,1620,451100,1923
1371,1129,242,1246,611700,1929
13410,8406,5004,1233,435200,1930
0,0,0,-,-,1937
5653,4161,1492,1260,508200,1938
4868,3957,911,1815,699100,1940
2128,1616,512,1544,851800,1944
8126,6419,1707,1562,705600,1945
3062,2838,224,1638,573100,1949
7419,5573,1846,1326,608300,1950
1477,1323,154,-,559900,1951
3914,3179,735,1485,368900,1952
21944,14280,7664,1503,419800,1960
3402,2319,1083,1590,543200,1966
2269,1901,368,1390,498600,1969
19025,9508,9517,1321,379400,1970
2720,2246,474,1231,565600,1982
2159,1919,240,1109,638100,1983
1361,1201,160,-,638600,1984
1720,1612,108,1614,585900,1985
6548,5363,1185,1547,325000,2019
9238,7044,2194,1826,540500,2021
3231,2564,667,1172,867000,2025
10491,7477,3014,1823,482300,2026
2013,1905,108,2217,993100,2030
1412,1260,152,1394,496600,2032
7081,4772,2309,1440,451500,2035
12414,9999,2415,1468,432800,2038
9121,7505,1616,2178,842000,2043
4473,3452,1021,1530,425900,2045
72,56,16,-,684200,2047
8925,6837,2088,1329,420100,2048
9992,8156,1836,1349,464200,2050
4362,3802,560,1513,701200,2052
4712,4185,527,1248,425800,2053
3110,2572,538,1727,446200,2054
3116,2948,168,1180,529300,2056
3519,3209,310,1740,628400,2061
12157,6705,5452,1655,455300,2062
7461,6607,854,1122,607800,2066
6436,5698,738,1628,573800,2067
250,174,76,-,515200,2071
11052,8245,2807,1566,374300,2072
7068,5656,1412,1443,506400,2081
5374,4631,743,1787,754800,2090
4290,3626,664,1034,474900,2093
2046,883,1163,2610,1534500,2108
1892,756,1136,3071,786300,2109
1325,876,449,2739,1123600,2110
3626,962,2664,1396,937300,2111
4286,692,3594,2079,670200,2113
7235,1799,5436,2488,725200,2114
9276,1105,8171,1730,786800,2115
12014,4598,7416,2104,1212700,2116
13672,4059,9613,1210,920100,2118
11738,3232,8506,860,489800,2119
4973,346,4627,1308,538100,2120
10740,2733,8007,1023,536800,2121
8656,3845,4811,1533,526200,2122
19555,7922,11633,1496,451000,2124
13063,4734,8329,1444,548700,2125
9968,4157,5811,1540,405600,2126
17109,7419,9690,1704,700100,2127
17123,4380,12743,1609,528400,2128
9390,4419,4971,1609,756200,2129
17680,8155,9525,1878,632700,2130
12625,6887,5738,1651,491500,2131
11454,7934,3520,1728,579300,2132
8308,1309,6999,1834,522300,2134
19739,4411,15328,1891,568700,2135
12242,6536,5706,1387,428800,2136
14312,5591,8721,2319,894700,2138
15224,5647,9577,2230,851300,2139
9384,2987,6397,2145,850000,2140
6846,2096,4750,2233,720100,2141
1943,285,1658,3241,948500,2142
11363,3320,8043,1999,729200,2143
10939,3973,6966,2135,748500,2144
11490,4083,7407,1959,652800,2145
23367,9825,13542,1650,447000,2148
16107,6346,9761,1587,434300,2149
13158,3539,9619,1475,369900,2150
18571,9194,9377,1461,388900,2151
8061,4501,3560,1578,461000,2152
23819,13203,10616,2008,551900,2155
473,0,473,2578,-,2163
25724,10323,15401,1661,426600,2169
7633,3949,3684,1538,481800,2170
7965,4070,3895,1801,479900,2171
11238,7513,3725,1638,599600,2176
9829,6510,3319,1522,526800,2180
13751,10206,3545,1501,489600,2184
8656,7193,1463,1239,651600,2186
