civ_emp_16_plus,civ_unemp_16_plus,med_h_Y,perc_below_pov_line,mean_com_time_min,priv_HI,pub_HI,uninsured,hh_w_child_pov_perc,zip
17279,814,69548,13.5,26.2,18254,14234,1409,13.0,1851
18172,1135,65445,15.3,26.6,20292,16339,1756,16.4,1852
14424,878,55461,23.4,25.7,17285,11647,1318,24.7,1854
3607,30,79909,8.2,31.0,5134,2914,205,16.8,1860
5598,352,107964,5.5,31.6,7840,2743,55,1.0,1862
5034,289,112568,3.4,33.8,8112,2705,79,2.8,1863
8727,450,123042,2.7,35.4,13994,3586,190,2.6,1864
13482,380,131515,3.0,33.6,22387,6400,195,3.2,1867
17316,902,105480,3.9,33.2,26532,8319,329,2.9,1876
6950,230,114313,6.7,26.4,10503,3062,357,5.7,1879
14899,368,104609,4.8,33.0,22948,6605,628,6.9,1880
12940,534,149437,1.9,34.7,22379,4539,153,1.8,1886
13139,604,133873,2.8,31.3,20496,6030,61,0.7,1887
10929,310,173058,2.8,33.9,20263,4603,464,1.0,1890
1125,21,26403,24.3,29.6,585,1592,275,26.9,1901
23144,2013,52834,17.6,34.2,23086,28327,2166,20.4,1902
9751,627,87639,8.2,30.4,12720,6987,651,12.4,1904
12554,499,62623,16.8,30.9,12357,13015,1083,20.7,1905
15038,675,88348,7.9,32.4,22549,11060,785,7.6,1906
8038,487,100927,4.9,37.8,12290,5026,83,3.3,1907
2023,45,94243,3.2,40.5,2928,1094,55,0.0,1908
10195,437,81027,6.6,31.7,14055,5147,352,8.7,1913
22847,605,84354,10.3,29.2,33109,14429,553,12.6,1915
4250,138,179375,0.2,39.9,7810,1723,91,0.0,1921
1916,30,176250,9.6,28.4,3102,1227,93,7.6,1922
15259,687,99269,5.7,28.7,22550,8864,452,4.6,1923
1915,38,109323,8.3,27.8,3297,870,59,13.1,1929
15764,924,76260,9.6,26.7,21081,12994,1079,12.7,1930
27,13,-,69.2,N,27,182,0,-,1937
7603,220,103941,7.1,30.9,11929,4373,142,5.6,1938
7035,273,136023,4.3,33.0,12051,3124,132,6.4,1940
2850,114,178250,2.3,37.8,5046,1122,35,0.0,1944
10715,464,131293,3.3,38.4,17202,6217,343,2.0,1945
4725,233,145525,2.3,34.2,7770,2582,140,2.0,1949
9387,543,110740,5.5,34.0,15059,5133,337,9.0,1950
1975,58,115719,6.6,27.3,3128,853,0,8.3,1951
5090,296,81755,7.1,31.0,6794,4162,299,4.3,1952
27686,1174,80679,7.7,27.5,40119,20880,1482,8.5,1960
3330,279,87149,6.9,32.3,5814,3290,87,9.3,1966
3769,121,118851,3.2,33.0,5340,2003,19,9.1,1969
24438,1176,66495,15.9,30.8,30830,17302,1035,22.6,1970
3947,83,115203,8.2,33.9,7144,2327,17,8.4,1982
3148,179,144258,4.5,39.3,5805,1636,78,4.8,1983
2745,63,142734,4.2,25.1,4443,1150,137,0.0,1984
2415,282,151500,3.6,35.0,4136,1434,66,2.1,1985
9646,387,103258,2.8,35.0,14534,4498,168,2.1,2019
12291,404,107442,3.3,35.9,20226,6758,287,1.4,2021
4108,81,141036,6.5,43.2,7717,1633,178,4.1,2025
14165,541,101730,4.8,32.6,21104,7350,457,4.9,2026
2603,266,"250,000+",0.5,37.3,5759,1248,22,0.0,2030
2372,88,158065,4.6,38.2,3957,904,28,0.0,2032
9289,451,92978,4.3,38.2,14742,5508,338,2.4,2035
18846,828,118193,5.3,36.2,30261,7411,267,7.0,2038
10849,458,147520,3.6,39.4,21578,6197,118,2.6,2043
6404,363,105403,4.3,35.2,8537,3662,198,3.0,2045
112,0,87174,0.0,N,156,39,0,-,2047
13879,603,120694,3.3,34.6,20469,5932,338,2.2,2048
14527,495,104209,6.6,37.4,22373,7691,677,5.8,2050
6368,195,174417,2.8,38.5,12055,2001,132,2.8,2052
7543,220,139688,5.7,36.6,11718,2918,77,3.3,2053
4395,125,114255,1.2,33.3,7121,2186,105,1.0,2054
4865,219,159914,0.7,40.1,8884,1751,47,0.0,2056
