total_pop,eighteen_plus,sixty_five_plus,nonhisp_white_perc,hisp_perc,nonhisp_black_perc,two_plus_races_perc,nonhisp_asian_perc,zip
17312,14145,4062,88.5,5.2,2.5,1.8,2.1,1001
30014,26246,4011,70.9,7.5,5.3,5.3,11.1,1002
11357,11218,4,68.2,6.9,3.9,3.2,18.2,1003
5128,4123,793,93.8,2.0,2.4,1.6,0.6,1005
15005,11606,2221,91.9,1.4,0.6,1.5,4.4,1007
1140,1007,285,96.1,2.7,0.0,0.8,0.0,1008
261,261,35,100.0,0.0,0.0,0.0,0.0,1009
3658,2892,736,92.0,2.2,3.9,1.8,0.5,1010
1430,1208,278,98.8,0.3,0.3,0.4,0.2,1011
585,496,148,96.8,1.7,0.0,0.7,0.0,1012
22733,17697,3342,63.6,29.3,4.0,1.6,2.3,1013
30108,24527,6276,77.5,15.8,3.0,2.2,2.3,1020
2586,2095,556,64.8,8.5,18.8,6.8,3.1,1022
933,740,228,96.8,1.5,0.0,1.2,0.5,1026
17818,15061,3382,90.0,4.2,1.7,3.2,1.4,1027
16242,12713,3528,85.3,3.9,4.7,1.7,4.4,1028
538,482,104,98.1,1.3,0.0,0.6,0.0,1029
11384,9135,2070,89.6,5.7,1.5,2.7,0.7,1030
1135,927,206,93.7,4.6,0.6,5.0,0.0,1031
495,428,84,93.9,6.1,0.0,0.0,0.0,1032
6322,5263,1183,92.2,3.9,1.0,1.3,0.8,1033
2186,1777,421,95.8,2.3,0.0,1.3,0.1,1034
5319,4462,1261,84.6,2.3,7.9,1.8,3.4,1035
5178,4325,1289,93.9,3.7,0.2,0.8,0.7,1036
747,569,128,92.9,5.5,0.8,1.1,0.5,1037
2734,2244,646,95.1,3.4,0.5,0.4,0.3,1038
1207,1032,248,90.9,7.1,2.0,3.0,0.0,1039
40241,30675,5698,41.3,53.9,2.9,2.6,0.6,1040
2438,2012,425,96.3,0.8,0.7,1.6,0.0,1050
1593,1370,446,91.7,2.6,4.7,0.4,0.6,1053
2001,1586,518,94.6,1.2,0.3,1.3,2.1,1054
21291,17245,3977,87.3,8.6,1.1,2.6,1.0,1056
8824,7188,1650,96.3,1.3,1.0,1.1,0.5,1057
15948,13869,2526,81.9,7.6,2.5,4.6,4.2,1060
10364,8221,2154,82.1,11.5,1.1,4.0,1.4,1062
611,611,0,68.1,7.5,1.5,7.5,16.9,1063
31,31,31,100.0,0.0,0.0,0.0,0.0,1066
1833,1517,303,96.6,2.1,0.3,0.6,0.2,1068
8556,7251,1612,86.5,5.2,2.5,4.9,2.4,1069
648,562,190,92.0,4.0,0.3,2.5,2.3,1070
1318,1078,223,88.8,4.7,3.2,2.9,0.0,1071
1478,1215,277,87.5,3.9,0.9,6.6,1.4,1072
6144,5101,1197,95.6,0.0,0.4,1.6,2.3,1073
411,321,25,92.9,7.1,0.0,7.1,0.0,1074
17703,15251,3422,84.8,6.4,1.8,3.9,4.3,1075
9720,7797,2108,92.8,3.5,0.1,1.5,1.7,1077
781,522,104,93.3,6.7,0.0,0.0,0.0,1079
2709,2024,266,86.3,3.0,2.2,7.8,1.2,1080
1883,1442,314,92.6,6.1,0.3,1.1,0.0,1081
10580,8443,2164,89.9,7.3,1.3,2.2,0.2,1082
3094,2334,386,95.7,0.0,0.0,0.0,4.3,1083
168,141,54,89.9,10.1,0.0,0.0,0.0,1084
41780,34167,7293,85.1,9.4,1.4,1.2,2.8,1085
363,363,0,87.9,6.3,5.8,3.9,0.0,1086
509,466,47,97.2,2.2,0.0,0.6,0.0,1088
28609,22770,4560,79.6,10.6,2.8,3.2,4.0,1089
1278,1047,136,92.6,4.9,2.6,0.0,0.0,1092
313,275,93,100.0,0.0,0.0,0.0,0.0,1093
387,330,163,90.2,9.8,0.0,0.0,0.0,1094
14728,11623,3153,85.3,9.6,2.8,1.8,0.9,1095
2443,2045,528,98.9,1.1,0.0,0.0,0.0,1096
56,23,3,87.5,0.0,0.0,12.5,0.0,1097
1263,1076,315,98.1,0.8,0.3,0.7,0.0,1098
2332,1988,250,20.5,57.9,14.8,3.2,2.8,1103
23740,17786,3390,31.1,57.3,7.6,5.2,1.8,1104
11841,8662,1342,12.2,65.9,20.0,3.9,0.2,1105
15987,12258,3306,84.5,6.9,0.9,2.4,5.8,1106
11562,7738,1141,11.0,80.3,7.8,2.6,0.2,1107
27054,19785,2808,30.4,44.5,17.4,3.7,5.5,1108
30383,23242,3134,21.1,39.9,34.1,5.5,1.3,1109
14830,11253,2330,51.8,24.0,15.3,6.4,4.8,1118
13681,10905,2067,48.3,29.6,17.0,4.1,2.6,1119
2541,2215,636,63.4,19.0,8.5,6.8,2.5,1128
6941,5523,1251,51.6,26.9,15.6,3.2,2.7,1129
9032,6622,1021,36.1,34.7,24.0,3.3,2.0,1151
0,0,0,-,-,-,-,-,1199
44458,36353,9083,83.7,6.6,3.9,4.0,2.0,1201
8179,6780,1592,95.5,1.4,0.9,1.5,0.8,1220
807,672,176,97.1,1.2,0.0,0.0,0.0,1222
2443,2042,580,91.9,3.3,2.1,2.4,0.3,1223
125,114,0,100.0,0.0,0.0,0.0,0.0,1224
3105,2718,690,96.2,2.4,0.6,0.6,0.0,1225
6769,5653,1466,95.6,2.1,0.1,0.3,1.6,1226
91,91,39,80.2,11.0,0.0,8.8,0.0,1229
8525,6725,2137,89.5,5.7,2.6,1.0,0.8,1230
2567,2157,524,97.2,1.6,0.1,2.3,0.0,1235
1311,1033,280,75.2,6.9,5.4,0.7,11.8,1236
2488,1981,633,96.6,0.8,2.1,0.7,0.1,1237
5814,4699,1507,89.7,1.3,1.9,0.4,3.2,1238
4453,3945,1860,88.5,6.4,3.1,2.0,0.7,1240
471,333,65,100.0,0.0,0.0,0.0,0.0,1242
268,266,67,92.5,0.0,0.0,1.9,0.7,1243
132,123,57,100.0,0.0,0.0,0.0,0.0,1244
836,721,277,97.1,0.8,0.4,0.2,0.4,1245
15466,12662,3010,87.6,5.8,1.5,4.8,0.9,1247
769,700,281,96.1,1.8,0.0,1.4,0.0,1253
902,803,331,93.9,0.8,1.0,2.0,2.3,1254
891,714,231,94.8,2.1,0.9,1.8,0.3,1255
680,578,141,86.0,3.2,8.4,2.1,0.0,1256
2017,1825,621,97.7,2.3,0.0,0.0,0.0,1257
488,426,108,87.7,7.8,0.0,0.2,0.4,1258
540,514,184,98.0,0.6,0.7,0.7,0.0,1259
427,319,69,100.0,0.0,0.0,0.0,0.0,1260
1005,960,398,81.4,3.8,8.7,2.2,4.0,1262
206,183,65,84.0,15.0,1.0,0.0,0.0,1264
1295,1119,386,89.9,3.6,3.8,1.2,1.1,1266
7753,6620,1543,79.5,5.9,4.9,4.3,6.2,1267
796,682,170,94.7,1.1,0.0,2.6,1.5,1270
17617,14533,3740,87.0,7.6,1.9,2.4,1.2,1301
1276,1132,316,93.2,3.1,0.1,3.7,0.5,1330
13486,10793,2249,90.4,4.9,0.8,3.3,0.4,1331
2532,2018,550,99.2,0.4,0.0,0.2,0.0,1337
113,108,34,85.0,0.0,0.0,15.0,0.0,1338
1371,1150,390,94.4,1.2,0.4,2.2,2.1,1339
1779,1488,450,97.0,1.6,0.4,1.1,0.0,1340
1929,1528,459,96.7,2.7,0.0,0.6,0.2,1341
1259,1031,238,78.0,5.7,11.2,7.6,0.3,1342
78,52,12,89.7,10.3,0.0,0.0,0.0,1343
1380,1090,267,91.2,3.7,1.7,2.2,0.0,1344
471,397,151,98.3,0.4,0.0,1.1,0.0,1346
154,146,28,100.0,0.0,0.0,0.0,0.0,1347
1391,1109,208,91.5,0.0,0.5,6.9,1.1,1349
87,69,18,100.0,0.0,0.0,0.0,0.0,1350
2114,1809,425,95.7,0.3,2.0,0.8,0.0,1351
1596,1375,312,89.8,0.6,5.5,1.0,3.0,1354
931,766,219,92.3,0.4,0.0,4.7,0.3,1355
2981,2405,591,94.6,4.1,0.3,0.8,0.2,1360
7729,6240,1417,94.7,2.4,0.6,1.7,0.9,1364
1188,1019,302,94.7,3.4,0.0,1.6,1.0,1366
639,456,137,91.7,3.9,0.8,4.2,0.0,1367
1377,1139,311,98.9,0.0,0.0,0.4,0.7,1368
3852,3250,963,92.8,1.1,1.3,1.3,3.5,1370
4854,3937,1021,94.8,3.0,0.0,2.2,0.5,1373
3647,3155,572,79.5,4.9,1.2,5.8,6.9,1375
5013,4217,1111,85.6,6.8,2.3,4.1,0.1,1376
792,663,156,95.1,2.0,0.0,2.1,0.5,1378
829,694,184,88.5,1.3,3.7,5.8,0.8,1379
40702,31492,5487,62.3,28.8,3.6,4.8,2.3,1420
6297,4756,829,96.0,1.7,1.1,1.2,0.3,1430
3220,2594,504,95.3,2.5,0.2,1.2,0.7,1431
7699,6223,1146,82.8,5.9,4.5,3.9,2.5,1432
1969,1719,256,55.8,14.0,17.3,4.4,10.9,1434
3374,2654,615,92.9,5.9,0.0,0.0,1.2,1436
694,465,0,99.6,0.0,0.4,0.0,0.0,1438
20610,16559,3181,81.2,9.3,2.3,4.2,3.2,1440
11313,8682,1684,91.0,1.4,0.2,3.9,3.6,1450
4731,3507,824,90.6,2.8,0.0,0.6,4.7,1451
4708,3813,878,88.5,5.8,0.8,2.3,3.5,1452
41647,32631,6634,69.3,18.4,5.8,3.6,2.9,1453
10071,7732,1553,89.0,1.3,0.6,2.8,5.9,1460
11402,8774,1923,88.4,5.9,1.3,2.6,1.4,1462
12105,9534,1871,93.0,2.0,0.8,1.8,2.3,1463
7633,6719,1061,74.9,9.8,8.4,3.1,4.0,1464
276,248,104,100.0,0.0,0.0,0.0,0.0,1467
4062,3395,796,95.2,0.8,0.0,0.0,3.4,1468
7670,5957,1084,94.4,2.8,0.6,0.4,1.6,1469
7766,6110,1362,96.2,3.3,0.0,0.2,0.2,1473
1803,1509,317,94.3,5.0,0.0,0.0,0.0,1474
10825,8314,1532,90.8,3.2,1.1,2.5,2.6,1475
16619,13271,3145,91.6,4.6,0.8,1.5,1.9,1501
3182,2624,811,97.0,0.2,0.4,1.5,0.9,1503
