hs_incomp_25_plus,hs_grad_25_plus,bach_grad_25_plus,perc_bach_grad_and_above,zip
119,880,3622,84.2,2421
198,842,4138,82.0,2445
353,1223,6466,84.1,2446
426,2756,3900,53.3,2451
264,1864,2431,52.7,2452
1010,3594,6251,55.4,2453
0,0,9,52.9,2457
96,986,3181,73.5,2458
43,550,3888,87.9,2459
66,717,1896,75.5,2460
46,186,1478,84.0,2461
20,71,268,79.9,2462
75,262,584,67.2,2464
149,937,2382,75.5,2465
92,752,1384,72.4,2466
69,627,3324,79.8,2467
30,71,1195,90.7,2468
677,4112,9021,66.0,2472
310,2444,6051,71.1,2474
214,1665,3910,70.4,2476
296,1632,4417,75.4,2478
109,235,3151,87.2,2481
80,603,2257,79.6,2482
119,1204,4336,79.5,2492
55,750,2576,82.8,2493
144,872,1820,69.0,2494
418,3033,2035,34.6,2532
28,264,188,39.7,2534
2,159,503,61.9,2535
799,4013,3205,35.9,2536
86,632,1609,57.5,2537
102,1347,286,14.1,2538
119,664,872,40.8,2539
339,1032,1598,56.1,2540
5,103,157,40.9,2542
8,24,194,84.9,2543
0,14,52,46.8,2553
306,1609,2508,52.3,2554
17,428,751,59.1,2556
135,857,762,42.2,2557
34,285,161,17.5,2558
29,842,575,37.7,2559
0,9,119,57.2,2561
37,548,547,36.0,2562
115,1595,2161,47.0,2563
0,16,55,79.6,2564
195,1007,662,38.7,2568
314,2422,1346,28.7,2571
41,337,570,54.3,2575
289,1187,558,23.3,2576
0,0,0,-,2584
933,4571,1296,18.3,2601
54,125,412,51.1,2630
172,1559,1924,48.9,2631
186,1513,2018,47.2,2632
50,446,1262,61.0,2633
26,317,774,61.1,2635
0,0,72,80.9,2637
115,559,705,53.0,2638
95,734,468,32.8,2639
0,9,94,78.3,2641
46,869,1127,50.3,2642
0,0,0,-,2643
86,675,492,30.0,2644
155,1722,1841,44.4,2645
16,263,468,56.0,2646
0,0,46,78.9,2647
170,1254,1281,40.9,2648
170,2417,2834,41.4,2649
25,183,260,57.3,2650
0,0,17,100.0,2651
42,117,77,41.5,2652
37,794,1591,58.6,2653
34,569,706,49.0,2655
61,437,803,54.8,2657
34,147,223,50.3,2659
180,1423,1157,34.9,2660
0,0,10,72.5,2663
244,2336,1217,30.0,2664
0,59,118,59.1,2666
111,527,810,52.8,2667
27,467,623,49.9,2668
0,8,0,70.4,2669
23,244,334,53.4,2670
0,152,197,55.5,2671
0,45,110,72.1,2672
272,1995,1325,32.3,2673
64,1047,1675,52.8,2675
111,888,771,34.7,2702
1734,9423,6969,31.6,2703
4,8,21,63.3,2713
24,1057,470,31.5,2715
180,1186,807,30.4,2717
561,1068,1029,29.8,2718
557,3902,2013,25.5,2719
2023,6671,3096,21.4,2720
2279,5917,1418,11.4,2721
1051,4333,853,10.8,2723
1593,4418,1123,14.0,2724
170,523,334,22.6,2725
552,3751,2409,28.3,2726
108,911,1083,51.4,2738
66,1137,1354,48.7,2739
2873,9771,3727,19.9,2740
530,2989,1390,22.2,2743
938,2149,772,14.4,2744
1437,6422,2325,18.1,2745
1155,3858,584,8.2,2746
968,4406,2410,28.4,2747
308,2217,2225,43.6,2748
847,4703,4886,40.6,2760
125,1586,1604,43.6,2762
0,60,377,62.6,2763
120,789,307,27.8,2764
473,3218,3445,40.8,2766
533,2947,2622,40.5,2767
106,1630,2319,45.9,2769
200,932,1068,48.4,2770
573,2405,2946,40.8,2771
556,4231,1775,23.9,2777
163,1405,1136,35.7,2779
2597,11757,5270,21.7,2780
655,3088,2276,35.2,2790
0,28,87,78.2,2791
52,215,95,22.4,2802
51,431,224,23.5,2804
242,1169,3503,69.1,2806
5,194,163,36.1,2807
196,607,219,18.5,2808
1063,3287,3186,41.0,2809
28,184,227,55.1,2812
219,1640,1290,38.0,2813
320,2013,1078,30.5,2814
0,0,125,67.6,2815
1371,7208,4268,27.3,2816
143,1103,1175,46.1,2817
411,2334,4002,58.1,2818
275,917,1300,48.0,2822
157,1343,736,31.3,2825
8,123,72,39.3,2826
82,518,349,28.5,2827
226,1527,1223,35.7,2828
147,1112,846,35.5,2830
64,731,570,34.1,2831
91,971,792,34.3,2832
33,306,219,31.1,2833
67,570,1581,64.6,2835
5,31,0,34.4,2836
54,477,919,52.9,2837
110,980,408,27.9,2838
257,441,195,22.4,2839
597,3379,5055,51.5,2840
